Park	Transect	Day	Month	Year	ActualDate	BiMonth	TimeStart	TimeEnd	Thomsons	Impala	Zebra	Gnu	Topi	Warthog	Hartebeast	Grants	Buffalo	Hippo	Giraffe	Ostrich	Eland	Elephant	Oribi	Reedbuck	Waterbuck	Baboons	Bushbuck	Other	Comments	TotalPrey	AvgPrey	Distance
N	WLOW	29	10	2010	29-Oct-10	2	834	846	120	0	2	0	2	0	0	8	0	0	0	0	0	0	0	0	0	0	0	8	 	140	189.971581	4
N	WLOW	9	11	2010	09-Nov-10	1	843	855	124	0	0	2	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	8	 	143	189.971581	4
N	WLOW	19	11	2010	19-Nov-10	2	834	845	26	13	5	0	1	0	0	7	0	0	0	6	0	0	0	0	0	0	0	13	 	71	189.971581	4
N	WLOW	13	12	2010	13-Dec-10	1	848	901	235	2	40	1	101	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	 	383	189.971581	4
N	WLOW	23	12	2010	23-Dec-10	2	834	852	172	1	42	0	18	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	 	237	189.971581	4
N	WLOW	2	1	2011	2-Jan-11	1	825	843	66	0	24	0	22	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	 	115	189.971581	4
N	WLOW	12	3	2011	12-Mar-11	1	841	853	7	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	18	189.971581	4
N	WLOW	3	4	2011	3-Apr-11	1	832	850	190	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	195	189.971581	4
N	WLOW	28	4	2011	28-Apr-11	2	806	819	41	15	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	58	189.971581	4
N	WLOW	9	5	2011	9-May-11	1	755	815	237	0	0	0	14	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	 	256	189.971581	4
N	WLOW	21	5	2011	21-May-11	2	838	849	98	0	0	0	4	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	 	116	189.971581	4
N	WLOW	2	6	2011	2-Jun-11	1	838	851	86	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	88	189.971581	4
N	WLOW	27	7	2011	27-Jul-11	2	813	830	52	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	 	59	189.971581	4
N	WLOW	4	8	2011	4-Aug-11	1	852	905	134	44	3	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	358	189.971581	4
N	WLOW	4	9	2011	4-Sep-11	1	859	908	26	0	0	22	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	 	50	189.971581	4
N	WLOW	22	10	2011	22-Oct-11	2	828	834	44	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	47	189.971581	4
N	WLOW	9	11	2011	9-Nov-11	1	800	810	172	0	17	113	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	 	311	189.971581	4
N	WLOW	30	11	2011	30-Nov-11	2	813	825	256	0	9	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	289	189.971581	4
N	WLOW	6	12	2011	6-Dec-11	1	752	809	367	1	0	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	378	189.971581	4
N	WLOW	17	12	2011	17-Dec-11	2	806	821	201	2	0	0	5	0	0	7	0	0	0	13	0	0	0	0	0	0	0	0	 	228	189.971581	4
N	WLOW	3	1	2012	3-Jan-12	1	721	738	305	0	0	0	72	0	14	16	0	0	0	0	0	0	0	0	0	0	0	0	 	407	189.971581	4
N	WLOW	24	1	2012	24-Jan-12	2	711	733	381	2	0	0	118	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	 	503	189.971581	4
N	WLOW	3	2	2012	3-Feb-12	1	717	759	321	2	2	0	97	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	 	426	189.971581	4
N	WLOW	22	2	2012	22-Feb-12	2	818	832	50	0	0	0	 	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	 	57	189.971581	4
N	WLOW	10	3	2012	10-Mar-12	1	740	752	226	1	0	1	33	1	0	9	0	0	0	0	0	0	0	0	0	0	0	0	 	271	189.971581	4
N	WLOW	17	3	2012	17-Mar-12	2	752	806	187	2	0	0	26	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	 	217	189.971581	4
N	WLOW	12	4	2012	12-Apr-12	1	757	813	225	1	5	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	256	189.971581	4
N	WLOW	30	5	2012	30-May-12	2	720	742	7	46	0	0	10	0	3	8	0	0	0	0	0	16	0	0	0	0	0	0	 	90	189.971581	4
N	WLOW	11	6	2012	11-Jun-12	1	746	807	0	0	0	0	0	0	0	 		 		 		 		 		 		 		0	189.971581	4
N	WLOW	17	6	2012	17-Jun-12	2	734	751	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	 	7	189.971581	4
